"class","layer_name_en","layer_name_ua","layer_description","geometry_type","attribute_name_en","attribute_name_ua","attribute_description","attribute_type","attribute_len","attribute_default_value","attribute_required","attribute_unique","domain","attribute_is_id"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","mega","опис меж","Опис меж зони регулювання забудови згідно з науково-проектною документацією","text",,,"True","False",,"False"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","regime","режими використання","Режими використання зони регулювання забудови згідно з науково-проектною документацією","text",,,"True","False",,"False"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","area","площа, га","Площа зони регулювання забудови в гектарах (га)","double",,,"True","False",,"False"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","act_name","назва науково-проектної документації","Найменування науково-проектної (науково-дослідної) документації з визначення меж і режимів використання зони регулювання забудови","text",500,,"False","False",,"False"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","act_date","дата науково-проектної документації","Дата затвердження науково-проектної (науково-дослідної) документації з визначення меж і режимів використання зони регулювання забудови","Date",,,"False","False",,"False"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","act_num","номер рішення","Номер рішення згідно з яким затверджено межі та режими використання зони регулювання забудови /науково-проектну (науково-дослідну) документацію з визначення меж та режимів використання зони регулювання забудови","text",10,,"False","False",,"False"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","act_gov","орган, що прийняв рішення","Орган, що прийняв рішення про затвердження меж та режимів використання зони регулювання забудови /науково-проектну (науково-дослідну) документацію з визначення меж та режимів використання зони регулювання забудови","text",255,,"False","False",,"False"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","uuid","uuid","Унікальний ідентифікатор об'єкта культурної спадщини в межах Бази геоданих, який генерується автоматично","text",38," ","True","True",,"True"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","class","класифікаційний код","Класифікаційний код згідно з Національним класифікатором об’єктів містобудування, благоустрою, будівель і споруд, який затверджується Мінінфраструктури ","text",10,,"False","False",,"False"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","katotth","КАТОТТГ","КАТОТТГ","text",20," ","True","False",,"False"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","koatuu","КОАТУУ","КОАТУУ","text",10," ","True","False",,"False"
"mkip","heritage_constr_regul_zones","Зона регулювання забудови","Забудована чи призначена під забудову територія за межами охоронної зони,  на  яку  поширюється композиційний  вплив  пам'ятки.  Ця зона призначена для збереження особливостей   візуального   сприйняття   пам'ятки,   охорони і відновлення її активної ролі в композиції і пейзажі міста, селища, села.  Ця зона виконує функції буферної, перехідної та синтезуючої зони  у  взаємодії  пам'ятки  з новими об'єктами довкілля.  У зоні регулювання забудови нова  забудова  регламентується  за  висотою, розмірами в плані, масштабністю","Polygon","note","примітка","Примітка у довільній формі","text",255," ","False","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","name","найменування","Повне найменування підзони зони регулювання забудови згідно з науково-проектною документацією","text",500,,"True","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","signific","категорія","Категорія підзони зони регулювання забудови ","integer",,,"True","False","heritage_monum_significance","False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","num","номер","Номер підзони зони регулювання забудови згідно з науково-проектною документацією","text",10,,"False","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","mega","опис меж","Опис меж підзони зони регулювання забудови згідно з науково-проектною документацією","text",,,"True","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","regime","режими використання","Режими використання підзони зони регулювання забудови згідно з науково-проектною документацією","text",,,"True","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","area","площа, га","Площа підзони зони регулювання забудови в гектарах (га)","double",,,"True","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","uuid_zone","uuid зони регулювання забудови","Унікальний ідентифікатор зони регулювання забудови, яку уточнює підзона","text",38,,"True","False","uuid зони регулювання забудови з класу heritage_constr_regul_zones","False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","act_name","назва науково-проектної документації","Найменування науково-проектної (науково-дослідної) документації з визначення меж і режимів використання підзони зони регулювання забудови","text",500,,"False","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","act_date","дата науково-проектної документації","Дата затвердження науково-проектної (науково-дослідної) документації з визначення меж і режимів використання підзони зони регулювання забудови","Date",,,"False","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","act_num","номер рішення","Номер рішення згідно з яким затверджено межі та режими використання підзони зони регулювання забудови /науково-проектну (науково-дослідну) документацію з визначення меж та режимів використання підзони зони регулювання забудови","text",10,,"False","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","act_gov","орган, що прийняв рішення","Орган, що прийняв рішення про затвердження меж та режимів використання  підзони зони регулювання забудови/науково-проектну (науково-дослідну) документацію з визначення меж та режимів використання підзони зони регулювання забудови","text",255,,"False","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","uuid","uuid","Унікальний ідентифікатор об'єкта культурної спадщини в межах Бази геоданих, який генерується автоматично","text",38," ","True","True",,"True"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","class","класифікаційний код","Класифікаційний код згідно з Національним класифікатором об’єктів містобудування, благоустрою, будівель і споруд, який затверджується Мінінфраструктури ","text",10,,"False","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","katotth","КАТОТТГ","КАТОТТГ","text",20," ","True","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","koatuu","КОАТУУ","КОАТУУ","text",10," ","True","False",,"False"
"mkip","heritage_constr_regul_zones_sub","Підзони зони регулювання забудови ","Підзони, виокремлені в межах зони регулювання забудови, для виділення режиму використання, умов, обмежень і заборон","Polygon","note","примітка","Примітка у довільній формі","text",255," ","False","False",,"False"
"mkip","heritage_kind","Відомості про вид об'єкта культурної спадщини","Відомості про вид об'єкта культурної спадщини","None","uuid","uuid запису","Унікальний ідентифікатор запису","text",38," ","True","True",,"True"
"mkip","heritage_kind","Відомості про вид об'єкта культурної спадщини","Відомості про вид об'єкта культурної спадщини","None","uuid_obj","uuid об'єкта культурної спадщини","Унікальний ідентифікатор комплексу (ансамблю), визначного місця або споруди (витвору), для яких визначається вид","text",38,,"True","False","uuid об'єкта культурної спадщини з класів heritage_complex, heritage_structure, heritage_mon_areas","False"
"mkip","heritage_kind","Відомості про вид об'єкта культурної спадщини","Відомості про вид об'єкта культурної спадщини","None","type","вид","Вид об'єкта культурної спадщини, що визначається статтею 2 Закону України „Про охорону культурної спадщини”","integer",,,"True","False","heritage_monum_type","False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","signific","категорія","Категорія пам'ятки культурної спадщини згідно зі статтею 14 Закону України „Про охорону культурної спадщини”","integer",,,"False","False","heritage_monum_significance","False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","name","найменування","Найменування пам'ятки культурної спадщини згідно з Державним реєстром нерухомих пам’яток України або найменування об'єкта культурної  спадщини","text",500,,"True","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","address","місцезнаходження","Адреса/місце розташування пам'ятки культурної спадщини або об'єкта культурної спадщин","text",,,"True","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","oh_num","охоронний номер","Охоронний номер пам'ятки культурної спадщини","text",20,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","oh_date","дата рішення про охорону об'єкта культурної спадщини","Дата рішення про взяття під охорону об'єкта культурної спадщини","Date",,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","oh_name","номер рішення про охорону  об'єкта культурної спадщини","Номер рішення про взяття під охорону об'єкта культурної спадщини","text",20,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","oh_org","орган, що прийняв рішення про охорону об'єкта культурної спадщини","Орган, що прийняв рішення про взяття під охорону об'єкта культурної спадщини","text",255,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","num_reg","номер рішення занесення  до Державного реєстру нерухомих пам’яток України","номер рішення про занесення  до Державного реєстру нерухомих пам’яток України","text",20,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","date_reg","дата занесення до Державного реєстру нерухомих пам’яток України","Дата рішення про занесення до Державного реєстру нерухомих пам’яток України ","Date",,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","org_reg","орган, що прийняв рішення про занесення до Державного реєстру нерухомих пам’яток України","Орган, що прийняв рішення про занесення до Державного реєстру нерухомих пам’яток України","text",255,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","date","датування","Дата утворення (датування періоду існування) об'єкта культурної спадщини","text",255,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","regime","режим використання об'єкта культурної спадщини","Режим використання пам'ятки культурної спадщини згідно з науково-проектною або обліковою документацією, або охоронним договором","text",,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","regime_doc","документи, що встановлюють режим використання об'єкта  культурної спадщини","Відносне посилання на теку з документами, які встановлюють режим використання пам'ятки культурної спадщини ","text",100,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","regime_date","дата встановлення режиму використання об'єкта культурної спадщини","Дата рішення про встановлення режиму використання об'єкта культурної спадщини","Date",,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","regime_num","рішення щодо встановлення режиму використання об'єкта культурної спадщини","Номер рішення про встановлення режиму використання об'єкта культурної спадщини","text",20,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","regime_org","орган, що прийняв рішення про встановлення режиму використання об'єкта культурної спадщини","Орган, що прийняв рішення про встановлення режиму використання об'єкта культурної спадщини/затвердження науково-проектної (науково-дослідної) документації з визначення режиму використання пам'ятки","text",255,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","ownership","форма власності","Форма власності, у якій перебуває пам'ятка або об'єкт культурної спадщини ","integer",,,"False","False","ownership","False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","owner","власник","Найменування власника пам'ятки або об'єкта культурної спадщини","text",255,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","status","статус об'єкта культурної спадщини","Статус об'єкта культурної спадщини","integer",,,"True","False","heritage_monum_status","False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","agreem_num","номер охоронного договору","Номер охоронного договору","text",20,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","agreem_date","дата укладення охоронного договору","Дата укладення охоронного договору","Date",,,"False","False",,"False"
"mkip","heritage_mon_areas","Визначні місця","Зони або ландшафти, природно-антропогенні витвори, що донесли до нашого часу цінність з археологічного, естетичного, етнологічного, історичного, архітектурного, мистецького, наукового чи художнього погляду, в тому числі ті, що віднесені до пам'яток культурної спадщини","Polygon","photo ","фотофіксація","Відносне посилання на теку з файлами фотофіксації, які передаються разом із Базою геоданих у складі документації","text",100,,"False","False",,"False"
